,Error_L1,Error_L2,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
0,0.008160356919263676,8.96085400539445e-06,100,1.1611673426835856e-09,6.166303992481078e-10,11623615.995390907,1.0,N/A,1.0,1.0,0.01
1,0.012209881879644523,1.8261853908557365e-05,100,1.0387769932753429e-09,9.4454346184044e-10,13496741.060978502,1.0,N/A,1.0,1.0,0.01
2,0.006408971968150948,6.336072027393241e-06,100,1.4284409926450357e-09,9.028656883593313e-10,22922326.193686817,1.0,N/A,1.0,1.0,0.01
3,0.006520025697383447,6.823754406692552e-06,100,2.013719191299201e-09,1.2568602483621363e-09,8315983.038444865,1.0,N/A,1.0,1.0,0.01
4,0.004943556719647143,2.028108514978217e-06,100,1.2469310619575108e-09,8.403835679820779e-10,14305361.718330411,1.0,N/A,1.0,1.0,0.01
5,0.013256170746376335,1.938752779065577e-05,100,7.41932965928641e-10,7.613380776567042e-10,2300133.747987359,0.9761904761904762,N/A,1.0,0.875,0.01
6,0.009587277737938786,1.107892510582627e-05,100,1.5201251557192658e-09,1.0078268493369898e-09,17578656.025843795,1.0,N/A,1.0,1.0,0.01
7,0.007621970985446737,8.521288337591273e-06,100,1.3348358633313594e-09,7.494948755911875e-10,10310703.974421635,1.0,N/A,1.0,1.0,0.01
8,0.006829677717818369,4.921193099319769e-06,100,2.2460896871261526e-09,1.5134923419724368e-09,5513161.589707746,1.0,N/A,1.0,1.0,0.01
9,0.004125049446726635,1.4460715578310281e-06,100,2.901144856525488e-09,2.9935953463127773e-09,23321396.73266968,1.0,N/A,1.0,1.0,0.01
10,0.014523831800942268,4.950302116848945e-05,100,3.0321239524169557e-09,2.3949654356646025e-09,18219740.87948829,1.0,N/A,1.0,1.0,0.01
11,0.005419780812503304,3.00211250861519e-06,100,1.0549073670429944e-09,8.790549611903929e-10,18848381.20678911,1.0,N/A,1.0,1.0,0.01
12,0.014012728741447655,4.094908529591886e-05,100,2.5621880423528997e-09,1.9876369178875597e-09,6557457.651854209,1.0,N/A,1.0,1.0,0.01
13,0.007112560168063737,5.71439429310738e-06,100,1.4502479707101493e-09,1.1120110987945374e-09,3099416.396125033,1.0,N/A,1.0,1.0,0.01
14,0.012096121794751918,1.748648627482425e-05,100,1.1470684804562793e-09,7.370183131461662e-10,8689152.552331265,1.0,N/A,1.0,1.0,0.01
15,0.007729517950678104,1.1723027702998088e-05,100,6.473318335197762e-09,5.623991808564233e-09,16014109.972860696,1.0,N/A,1.0,1.0,0.01
16,0.007471504850247449,7.846488001622018e-06,100,1.7008947175530226e-09,1.492421618037519e-09,8682009.932742687,1.0,N/A,1.0,1.0,0.01
17,0.017130436348527067,3.048497860645306e-05,100,3.889030645604873e-09,3.3421866569866584e-09,13103965.659591194,1.0,N/A,1.0,1.0,0.01
18,0.004393102154330558,1.808016009313345e-06,100,9.501076328043246e-10,4.204672380670321e-10,14006798.741220001,1.0,N/A,1.0,1.0,0.01
19,0.008646068421002092,8.415404537119679e-06,100,1.8534200084860083e-09,1.2664066160113816e-09,7343306.16485662,1.0,N/A,1.0,1.0,0.01
20,0.006122270298461013,3.672204582587875e-06,100,1.8875287070080177e-09,1.313577078440573e-09,5572662.106627994,1.0,N/A,1.0,1.0,0.01
21,0.008010423769291125,6.856921454491619e-06,100,7.441174514953418e-10,6.175796687403107e-10,13970808.93673178,1.0,N/A,1.0,1.0,0.01
22,0.009830003112039354,1.4598583578762588e-05,100,2.4458817755232897e-09,1.961724722490066e-09,4774335.080292711,1.0,N/A,1.0,1.0,0.01
23,0.011923686957832918,2.3360910693912558e-05,100,1.2972647592883042e-09,9.613031103489418e-10,7558879.578484986,1.0,N/A,1.0,1.0,0.01
24,0.01650720176042538,3.6818187939601726e-05,100,1.4086105537815554e-09,1.0733467707434624e-09,6978058.756606758,1.0,N/A,1.0,1.0,0.01
25,0.018657568612142746,7.996835352353433e-05,100,1.8436108269342215e-09,1.8535840432967808e-09,12455029.266974004,1.0,N/A,1.0,1.0,0.01
26,0.0038322756160527618,1.0737543699505958e-06,100,3.372690756132491e-09,3.1853170163787855e-09,7638022.655354279,1.0,N/A,1.0,1.0,0.01
27,0.021751364707069138,6.151954462422815e-05,100,2.4912344282077113e-09,2.0370255312115943e-09,15602684.875274014,1.0,N/A,1.0,1.0,0.01
28,0.005310291762056142,2.726017673560669e-06,100,2.1555640462306463e-09,1.7131603263328276e-09,13445776.75794604,1.0,N/A,1.0,1.0,0.01
29,0.008305018387929037,7.193216671910786e-06,100,1.7419169823089232e-09,1.5127478141305394e-09,8947489.28531901,1.0,N/A,1.0,1.0,0.01
30,0.014564730181540633,2.9086808341390378e-05,100,2.773049421093539e-09,2.083556969077126e-09,10051947.765851885,1.0,N/A,1.0,1.0,0.01
31,0.005726713577198746,3.97786363100825e-06,100,1.5342196094218018e-09,7.896696867764349e-10,4760080.101485631,1.0,N/A,1.0,1.0,0.01
32,0.014261246468165494,2.07020269564791e-05,100,3.094174172807387e-09,2.5570239797998482e-09,9523027.235508991,1.0,N/A,1.0,1.0,0.01
33,0.00942302331926936,8.062388581844531e-06,100,1.1290635562171467e-09,8.117173188391618e-10,6668675.435072242,1.0,N/A,1.0,1.0,0.01
34,0.009118024699823559,1.7391745285512416e-05,100,1.1565567321423381e-09,1.0613693593225468e-09,14970482.674146125,1.0,N/A,1.0,1.0,0.01
35,0.0041966390782630396,1.419310929582017e-06,100,2.559352281988302e-09,2.333651923706157e-09,15900434.78284917,1.0,N/A,1.0,1.0,0.01
36,0.013226466894828788,2.1317735781938235e-05,100,4.2868445448098675e-09,4.070582803239899e-09,11563242.617593141,1.0,N/A,1.0,1.0,0.01
37,0.008949204783565095,7.962903907075758e-06,100,4.118111305124984e-09,3.4488452650672333e-09,7059651.583118995,1.0,N/A,1.0,1.0,0.01
38,0.01599249238633429,3.476732074773801e-05,100,1.2406250669811045e-09,9.486636554499045e-10,9524546.244353458,1.0,N/A,1.0,1.0,0.01
39,0.01023830833784025,1.5587557004831542e-05,100,2.046528184659118e-09,1.978548595368467e-09,20822700.657790218,1.0,N/A,1.0,1.0,0.01
40,0.010373858098971378,2.360277021844676e-05,100,1.4483406151793982e-09,1.2088499086229296e-09,8404515.707446784,1.0,N/A,1.0,1.0,0.01
41,0.0042848778344411085,2.0523039331218385e-06,100,2.921768464622432e-09,2.3472754781781396e-09,15101867.677389571,1.0,N/A,1.0,1.0,0.01
42,0.010699236419828888,1.801389562401863e-05,100,8.978471928560626e-10,6.426854773056045e-10,7812148.629484864,1.0,N/A,1.0,1.0,0.01
43,0.012472599290708675,1.8239866215406684e-05,100,5.521916913653193e-09,4.869795510102553e-09,8840019.150731187,1.0,N/A,1.0,1.0,0.01
44,0.012302331510298073,1.9640111236342798e-05,100,2.1824054350151843e-09,1.253714723371821e-09,7921611.2471097745,1.0,N/A,1.0,1.0,0.01
45,0.012708083479807503,1.986855573370266e-05,100,1.8653076085148493e-09,1.0897341606856443e-09,9161333.167860357,0.9761904761904762,N/A,1.0,0.875,0.01
46,0.007246129928981422,8.842340265764103e-06,100,1.7201305016885913e-09,1.4193725245597627e-09,10859662.168762142,1.0,N/A,1.0,1.0,0.01
47,0.005628706706269927,3.3207603510143745e-06,100,1.6836528184354681e-09,1.2566386184357388e-09,13532008.053050987,1.0,N/A,1.0,1.0,0.01
48,0.017897847547974945,6.607532656107379e-05,100,4.048936019020291e-09,3.64704143333727e-09,10518216.861247571,1.0,N/A,1.0,1.0,0.01
49,0.0035687224289260204,1.9566187848789085e-06,100,1.435119099539391e-09,7.956831239405592e-10,8026558.655331232,1.0,N/A,1.0,1.0,0.01
50,0.009328760899386862,8.972291236420319e-06,100,1.5827792368788744e-09,1.1198956276418477e-09,15690498.543619256,1.0,N/A,1.0,1.0,0.01
51,0.01473085497223908,3.324084338835592e-05,100,2.109151679129412e-09,1.7800717235670566e-09,12124357.774826208,1.0,N/A,1.0,1.0,0.01
52,0.0067635948272189664,8.549255441862485e-06,100,1.6533488368973014e-09,1.182674509757779e-09,8500433.641635912,1.0,N/A,1.0,1.0,0.01
53,0.017630699434987365,6.883526076770051e-05,100,3.1907862940262484e-09,2.6016880865809146e-09,8470197.50444576,1.0,N/A,1.0,1.0,0.01
54,0.007487244923323506,9.952659326612116e-06,100,2.2890437712256007e-09,1.5352047335204304e-09,18408153.478030607,1.0,N/A,1.0,1.0,0.01
55,0.03609178199067342,0.0002465566097306675,100,3.780260298226682e-09,3.207909892977271e-09,11161474.260749873,0.9761904761904762,N/A,1.0,0.8571428571428571,0.01
56,0.004159174167558626,1.880825685962696e-06,100,1.4719786101809753e-09,9.284869161724807e-10,7704547.406824591,1.0,N/A,1.0,1.0,0.01
57,0.005513818198787555,4.420273455701545e-06,100,1.6115257257933677e-09,8.986414262315443e-10,7234225.092270944,1.0,N/A,1.0,1.0,0.01
58,0.019609162970765467,6.708943781084494e-05,100,5.443647562211826e-09,5.26216646132511e-09,10571095.579495292,1.0,N/A,1.0,1.0,0.01
59,0.011343809782226327,1.529165154637961e-05,100,7.949034990021348e-10,9.003347152947531e-10,5726373.602498667,1.0,N/A,1.0,1.0,0.01
60,0.013923725737447816,4.758321877241994e-05,100,1.457876067080851e-09,9.029631964005743e-10,6960482.900372178,1.0,N/A,1.0,1.0,0.01
61,0.0037936985787886683,1.5716203984797044e-06,100,1.3509363020926385e-09,1.0117123596489952e-09,23178958.287823856,1.0,N/A,1.0,1.0,0.01
62,0.007509029446497025,8.915371967755263e-06,100,1.3216056272555015e-09,8.416494609530357e-10,8385302.728556268,1.0,N/A,1.0,1.0,0.01
